"Param","n_reps","Success_Count","Success_rate","CI_Lower","True_param","CI_Upper","alpha","N","Tfull","rho","beta","omega_var"
"omega",1000,949,0.94994994994995,0.738470335958415,1,1.26152966404158,0.05,300,3,0.5,1,1
"rho",1000,966,0.966966966966967,0.200999609039244,0.5,0.799000390960756,0.05,300,3,0.5,1,1
"beta",1000,940,0.94,0.839052750100219,1,1.16094724989978,0.05,300,3,0.6,1,1
"omega",1000,938,0.938,0.743178471659984,1,1.25682152834002,0.05,300,3,0.6,1,1
"rho",1000,951,0.951,0.362970725238314,0.6,0.837029274761686,0.05,300,3,0.6,1,1
"beta",1000,948,0.948,0.833774055678226,1,1.16622594432177,0.05,300,3,0.7,1,1
"omega",1000,929,0.929,0.714712254380312,1,1.28528774561969,0.05,300,3,0.7,1,1
"rho",1000,907,0.907,0.5255108145502,0.7,0.8744891854498,0.05,300,3,0.7,1,1
"beta",1000,942,0.943887775551102,0.831590121081759,1,1.16840987891824,0.05,300,3,0.8,1,1
"omega",1000,952,0.953907815631262,0.712251672155308,1,1.28774832784469,0.05,300,3,0.8,1,1
"rho",1000,909,0.910821643286573,0.682481326245984,0.8,0.917518673754016,0.05,300,3,0.8,1,1
"beta",1000,954,0.957831325301205,0.822491985331525,1,1.17750801466847,0.05,300,3,0.9,1,1
"omega",1000,940,0.943775100401606,0.672398601412243,1,1.32760139858776,0.05,300,3,0.9,1,1
"rho",1000,919,0.922690763052209,0.851435216557662,0.9,0.948564783442338,0.05,300,3,0.9,1,1
"beta",1000,963,0.964929859719439,0.817373239921433,1,1.18262676007857,0.05,300,4,-0.9,1,1
"omega",1000,950,0.95190380761523,0.736606672395623,1,1.26339332760438,0.05,300,4,-0.9,1,1
"rho",1000,936,0.937875751503006,-0.924067828626337,-0.9,-0.875932171373663,0.05,300,4,-0.9,1,1
"beta",1000,944,0.947791164658635,0.826984263825153,1,1.17301573617485,0.05,300,4,-0.8,1,1
"omega",1000,928,0.931726907630522,0.755759325653915,1,1.24424067434608,0.05,300,4,-0.8,1,1
"rho",1000,938,0.941767068273092,-0.84481781196055,-0.8,-0.75518218803945,0.05,300,4,-0.8,1,1
"beta",1000,941,0.944779116465863,0.828453170433686,1,1.17154682956631,0.05,300,4,-0.7,1,1
"omega",1000,954,0.957831325301205,0.74156310081929,1,1.25843689918071,0.05,300,4,-0.7,1,1
"rho",1000,934,0.937751004016064,-0.765057018737153,-0.7,-0.634942981262846,0.05,300,4,-0.7,1,1
"beta",1000,934,0.941532258064516,0.834307665083813,1,1.16569233491619,0.05,300,4,-0.6,1,1
"omega",1000,927,0.934475806451613,0.75825780633038,1,1.24174219366962,0.05,300,4,-0.6,1,1
"rho",1000,941,0.948588709677419,-0.687480706754679,-0.6,-0.512519293245321,0.05,300,4,-0.6,1,1
"beta",1000,932,0.936683417085427,0.83747726659502,1,1.16252273340498,0.05,300,4,-0.5,1,1
"omega",1000,938,0.942713567839196,0.761410613881611,1,1.23858938611839,0.05,300,4,-0.5,1,1
"rho",1000,935,0.939698492462312,-0.606170074567043,-0.5,-0.393829925432957,0.05,300,4,-0.5,1,1
"beta",1000,953,0.955867602808425,0.836844571938551,1,1.16315542806145,0.05,300,4,-0.4,1,1
"omega",1000,949,0.9518555667001,0.757556645641115,1,1.24244335435888,0.05,300,4,-0.4,1,1
"rho",1000,935,0.937813440320963,-0.522198380661917,-0.4,-0.277801619338083,0.05,300,4,-0.4,1,1
"beta",1000,947,0.947,0.843357115192276,1,1.15664288480772,0.05,300,4,-0.3,1,1
"omega",1000,938,0.938,0.767896404951524,1,1.23210359504848,0.05,300,4,-0.3,1,1
"rho",1000,941,0.941,-0.44204688597467,-0.3,-0.15795311402533,0.05,300,4,-0.3,1,1
"beta",1000,940,0.94,0.8427702575416,1,1.1572297424584,0.05,300,4,-0.2,1,1
"omega",1000,956,0.956,0.762964772548172,1,1.23703522745183,0.05,300,4,-0.2,1,1
"rho",1000,931,0.931,-0.361977331789034,-0.2,-0.0380226682109655,0.05,300,4,-0.2,1,1
"beta",1000,956,0.956,0.845061339081174,1,1.15493866091883,0.05,300,4,-0.1,1,1
"omega",1000,931,0.931,0.762610475227084,1,1.23738952477292,0.05,300,4,-0.1,1,1
"rho",1000,932,0.932,-0.272134196969083,-0.1,0.0721341969690833,0.05,300,4,-0.1,1,1
"beta",1000,945,0.945,0.844055620028674,1,1.15594437997133,0.05,300,4,0,1,1
"omega",1000,948,0.948,0.758079743264832,1,1.24192025673517,0.05,300,4,0,1,1
"rho",1000,960,0.96,-0.194535066481478,0,0.194535066481478,0.05,300,4,0,1,1
"beta",1000,939,0.939,0.847708296662423,1,1.15229170333758,0.05,300,4,0.1,1,1
"omega",1000,938,0.938,0.771451050493762,1,1.22854894950624,0.05,300,4,0.1,1,1
"rho",1000,941,0.941,-0.109811416900695,0.1,0.309811416900695,0.05,300,4,0.1,1,1
"beta",1000,951,0.951,0.846116057463,1,1.153883942537,0.05,300,4,0.2,1,1
"omega",1000,958,0.958,0.762759274221309,1,1.23724072577869,0.05,300,4,0.2,1,1
"rho",1000,930,0.93,-0.0221812155407901,0.2,0.42218121554079,0.05,300,4,0.2,1,1
"beta",1000,942,0.94578313253012,0.845259838962428,1,1.15474016103757,0.05,300,4,0.3,1,1
"omega",1000,949,0.95281124497992,0.76260646667686,1,1.23739353332314,0.05,300,4,0.3,1,1
"rho",1000,936,0.939759036144578,0.0700830074042275,0.3,0.529916992595772,0.05,300,4,0.3,1,1
"beta",1000,939,0.939,0.849899023356814,1,1.15010097664319,0.05,300,4,0.4,1,1
"omega",1000,937,0.937,0.768780154204536,1,1.23121984579546,0.05,300,4,0.4,1,1
"rho",1000,955,0.955,0.153038487966603,0.4,0.646961512033397,0.05,300,4,0.4,1,1
"beta",1000,939,0.93993993993994,0.848750181749794,1,1.15124981825021,0.05,300,4,0.5,1,1
"omega",1000,946,0.946946946946947,0.761182562386602,1,1.2388174376134,0.05,300,4,0.5,1,1
"rho",1000,978,0.978978978978979,0.257105580228033,0.5,0.742894419771967,0.05,300,4,0.5,1,1
"beta",1000,949,0.9518555667001,0.844370910340917,1,1.15562908965908,0.05,300,4,0.6,1,1
"omega",1000,952,0.954864593781344,0.74792112618693,1,1.25207887381307,0.05,300,4,0.6,1,1
"rho",1000,967,0.969909729187563,0.381605316606675,0.6,0.818394683393325,0.05,300,4,0.6,1,1
"beta",1000,950,0.95190380761523,0.842169144233312,1,1.15783085576669,0.05,300,4,0.7,1,1
"omega",1000,950,0.95190380761523,0.740449445525851,1,1.25955055447415,0.05,300,4,0.7,1,1
"rho",1000,949,0.950901803607214,0.529818400194341,0.7,0.870181599805659,0.05,300,4,0.7,1,1
"beta",1000,936,0.943548387096774,0.839192359002732,1,1.16080764099727,0.05,300,4,0.8,1,1
"omega",1000,958,0.965725806451613,0.726371967196916,1,1.27362803280308,0.05,300,4,0.8,1,1
"rho",1000,909,0.91633064516129,0.703569430822879,0.8,0.896430569177121,0.05,300,4,0.8,1,1
"beta",1000,938,0.940822467402207,0.834743188422886,1,1.16525681157711,0.05,300,4,0.9,1,1
"omega",1000,944,0.946840521564694,0.706381762337528,1,1.29361823766247,0.05,300,4,0.9,1,1
"rho",1000,900,0.902708124373119,0.857823258390779,0.9,0.942176741609221,0.05,300,4,0.9,1,1
"beta",1000,945,0.94689378757515,0.845126255808204,1,1.1548737441918,0.05,500,3,-0.9,1,1
"omega",1000,943,0.944889779559118,0.769620146319115,1,1.23037985368089,0.05,500,3,-0.9,1,1
"rho",1000,946,0.947895791583166,-0.92266379801605,-0.9,-0.87733620198395,0.05,500,3,-0.9,1,1
"beta",1000,942,0.943887775551102,0.852139146883289,1,1.14786085311671,0.05,500,3,-0.8,1,1
"omega",1000,939,0.940881763527054,0.770462896037311,1,1.22953710396269,0.05,500,3,-0.8,1,1
"rho",1000,950,0.95190380761523,-0.843189464776465,-0.8,-0.756810535223535,0.05,500,3,-0.8,1,1
"beta",1000,943,0.945837512537613,0.853710374131865,1,1.14628962586813,0.05,500,3,-0.7,1,1
"omega",1000,944,0.946840521564694,0.778485123296657,1,1.22151487670334,0.05,500,3,-0.7,1,1
"rho",1000,928,0.930792377131394,-0.758959231954754,-0.7,-0.641040768045246,0.05,500,3,-0.7,1,1
"beta",1000,943,0.946787148594378,0.861356645894872,1,1.13864335410513,0.05,500,3,-0.6,1,1
"omega",1000,945,0.948795180722892,0.790211690253352,1,1.20978830974665,0.05,500,3,-0.6,1,1
"rho",1000,947,0.950803212851406,-0.681711908562707,-0.6,-0.518288091437293,0.05,500,3,-0.6,1,1
"beta",1000,947,0.947947947947948,0.861753780471077,1,1.13824621952892,0.05,500,3,-0.5,1,1
"omega",1000,941,0.941941941941942,0.796226466480207,1,1.20377353351979,0.05,500,3,-0.5,1,1
"rho",1000,947,0.947947947947948,-0.601162594205343,-0.5,-0.398837405794657,0.05,500,3,-0.5,1,1
"beta",1000,944,0.946840521564694,0.861958597760804,1,1.1380414022392,0.05,500,3,-0.4,1,1
"omega",1000,941,0.94383149448345,0.789546599394969,1,1.21045340060503,0.05,500,3,-0.4,1,1
"rho",1000,943,0.945837512537613,-0.517103954395928,-0.4,-0.282896045604072,0.05,500,3,-0.4,1,1
"beta",1000,943,0.943,0.86661848380919,1,1.13338151619081,0.05,500,3,-0.3,1,1
"omega",1000,947,0.947,0.792167699023737,1,1.20783230097626,0.05,500,3,-0.3,1,1
"rho",1000,924,0.924,-0.432831253370276,-0.3,-0.167168746629724,0.05,500,3,-0.3,1,1
"beta",1000,947,0.947,0.867618257070032,1,1.13238174292997,0.05,500,3,-0.2,1,1
"omega",1000,945,0.945,0.793595796463534,1,1.20640420353647,0.05,500,3,-0.2,1,1
"rho",1000,950,0.95,-0.363604948279926,-0.2,-0.036395051720074,0.05,500,3,-0.2,1,1
"beta",1000,949,0.949,0.869392465830427,1,1.13060753416957,0.05,500,3,-0.1,1,1
"omega",1000,950,0.95,0.793467157214154,1,1.20653284278585,0.05,500,3,-0.1,1,1
"rho",1000,960,0.96,-0.282200631705823,-0.1,0.0822006317058228,0.05,500,3,-0.1,1,1
"beta",1000,951,0.951,0.86865432626769,1,1.13134567373231,0.05,500,3,0,1,1
"omega",1000,944,0.944,0.789914650226907,1,1.21008534977309,0.05,500,3,0,1,1
"rho",1000,937,0.937,-0.19725737839722,0,0.19725737839722,0.05,500,3,0,1,1
"beta",1000,953,0.953953953953954,0.87002314680178,1,1.12997685319822,0.05,500,3,0.1,1,1
"omega",1000,953,0.953953953953954,0.790349493482239,1,1.20965050651776,0.05,500,3,0.1,1,1
"rho",1000,933,0.933933933933934,-0.115456634059131,0.1,0.315456634059131,0.05,500,3,0.1,1,1
"beta",1000,941,0.941,0.869972561080678,1,1.13002743891932,0.05,500,3,0.2,1,1
"omega",1000,954,0.954,0.787022771720009,1,1.21297722827999,0.05,500,3,0.2,1,1
"rho",1000,951,0.951,-0.0349876821196991,0.2,0.434987682119699,0.05,500,3,0.2,1,1
"beta",1000,945,0.945945945945946,0.869999613051523,1,1.13000038694848,0.05,500,3,0.3,1,1
"omega",1000,950,0.950950950950951,0.78334336317694,1,1.21665663682306,0.05,500,3,0.3,1,1
"rho",1000,946,0.946946946946947,0.0603445217712889,0.3,0.539655478228711,0.05,500,3,0.3,1,1
"beta",1000,952,0.952,0.875751139031706,1,1.12424886096829,0.05,500,3,0.4,1,1
"omega",1000,938,0.938,0.797264358438454,1,1.20273564156155,0.05,500,3,0.4,1,1
"rho",1000,964,0.964,0.15643537767696,0.4,0.64356462232304,0.05,500,3,0.4,1,1
"beta",1000,934,0.934,0.875446034261141,1,1.12455396573886,0.05,500,3,0.5,1,1
"omega",1000,921,0.921,0.797419993325544,1,1.20258000667446,0.05,500,3,0.5,1,1
"rho",1000,963,0.963,0.268395293059897,0.5,0.731604706940103,0.05,500,3,0.5,1,1
"beta",1000,930,0.93,0.875330796304053,1,1.12466920369595,0.05,500,3,0.6,1,1
"omega",1000,936,0.936,0.801066899558317,1,1.19893310044168,0.05,500,3,0.6,1,1
"rho",1000,929,0.929,0.416397913256874,0.6,0.783602086743126,0.05,500,3,0.6,1,1
"beta",1000,953,0.953,0.871241937186833,1,1.12875806281317,0.05,500,3,0.7,1,1
"omega",1000,947,0.947,0.779017062467578,1,1.22098293753242,0.05,500,3,0.7,1,1
"rho",1000,917,0.917,0.564841258131925,0.7,0.835158741868074,0.05,500,3,0.7,1,1
"beta",1000,925,0.92964824120603,0.869550268722569,1,1.13044973127743,0.05,500,3,0.8,1,1
"omega",1000,932,0.936683417085427,0.777111103671695,1,1.2228888963283,0.05,500,3,0.8,1,1
"rho",1000,923,0.927638190954774,0.708970426736463,0.8,0.891029573263537,0.05,500,3,0.8,1,1
"beta",1000,938,0.939879759519038,0.862502883074131,1,1.13749711692587,0.05,500,3,0.9,1,1
"omega",1000,939,0.940881763527054,0.746241047815072,1,1.25375895218493,0.05,500,3,0.9,1,1
"rho",1000,943,0.944889779559118,0.862381880503131,0.9,0.937618119496869,0.05,500,3,0.9,1,1
"beta",1000,925,0.933400605449041,0.858537919928779,1,1.14146208007122,0.05,500,4,-0.9,1,1
"omega",1000,929,0.937436932391524,0.795976405737219,1,1.20402359426278,0.05,500,4,-0.9,1,1
"rho",1000,930,0.938446014127144,-0.918642859889836,-0.9,-0.881357140110164,0.05,500,4,-0.9,1,1
"beta",1000,940,0.942828485456369,0.865982587032601,1,1.1340174129674,0.05,500,4,-0.8,1,1
"omega",1000,939,0.941825476429288,0.810811987158229,1,1.18918801284177,0.05,500,4,-0.8,1,1
"rho",1000,937,0.939819458375125,-0.834715727867333,-0.8,-0.765284272132667,0.05,500,4,-0.8,1,1
"beta",1000,942,0.946733668341709,0.867120397198997,1,1.132879602801,0.05,500,4,-0.7,1,1
"omega",1000,947,0.951758793969849,0.799815638685525,1,1.20018436131448,0.05,500,4,-0.7,1,1
"rho",1000,945,0.949748743718593,-0.75039295002458,-0.7,-0.64960704997542,0.05,500,4,-0.7,1,1
"beta",1000,937,0.941708542713568,0.871655269255077,1,1.12834473074492,0.05,500,4,-0.6,1,1
"omega",1000,937,0.941708542713568,0.812747301968383,1,1.18725269803162,0.05,500,4,-0.6,1,1
"rho",1000,945,0.949748743718593,-0.667762264075066,-0.6,-0.532237735924934,0.05,500,4,-0.6,1,1
"beta",1000,941,0.944779116465863,0.874110432028481,1,1.12588956797152,0.05,500,4,-0.5,1,1
"omega",1000,933,0.936746987951807,0.815189456196326,1,1.18481054380367,0.05,500,4,-0.5,1,1
"rho",1000,950,0.953815261044177,-0.582238986132751,-0.5,-0.417761013867249,0.05,500,4,-0.5,1,1
"beta",1000,952,0.954864593781344,0.873620348854933,1,1.12637965114507,0.05,500,4,-0.4,1,1
"omega",1000,948,0.950852557673019,0.812204185233875,1,1.18779581476612,0.05,500,4,-0.4,1,1
"rho",1000,945,0.947843530591775,-0.494654458647424,-0.4,-0.305345541352576,0.05,500,4,-0.4,1,1
"beta",1000,938,0.938,0.87866494316756,1,1.12133505683244,0.05,500,4,-0.3,1,1
"omega",1000,950,0.95,0.820213328356476,1,1.17978667164352,0.05,500,4,-0.3,1,1
"rho",1000,951,0.951,-0.410029044752104,-0.3,-0.189970955247896,0.05,500,4,-0.3,1,1
"beta",1000,947,0.947,0.878210365186027,1,1.12178963481397,0.05,500,4,-0.2,1,1
"omega",1000,943,0.943,0.816393302322916,1,1.18360669767708,0.05,500,4,-0.2,1,1
"rho",1000,938,0.938,-0.325467101696409,-0.2,-0.0745328983035913,0.05,500,4,-0.2,1,1
"beta",1000,946,0.946946946946947,0.879985029315542,1,1.12001497068446,0.05,500,4,-0.1,1,1
"omega",1000,961,0.961961961961962,0.816118864798081,1,1.18388113520192,0.05,500,4,-0.1,1,1
"rho",1000,934,0.934934934934935,-0.233334575634809,-0.1,0.0333345756348094,0.05,500,4,-0.1,1,1
"beta",1000,945,0.947843530591775,0.879206002687282,1,1.12079399731272,0.05,500,4,0,1,1
"omega",1000,947,0.949849548645938,0.812609374910894,1,1.18739062508911,0.05,500,4,0,1,1
"rho",1000,947,0.949849548645938,-0.150686214547223,0,0.150686214547223,0.05,500,4,0,1,1
"beta",1000,942,0.942,0.882035353841601,1,1.1179646461584,0.05,500,4,0.1,1,1
"omega",1000,939,0.939,0.822966744953828,1,1.17703325504617,0.05,500,4,0.1,1,1
"rho",1000,949,0.949,-0.0625192247001143,0.1,0.262519224700114,0.05,500,4,0.1,1,1
"beta",1000,960,0.96,0.880802010661092,1,1.11919798933891,0.05,500,4,0.2,1,1
"omega",1000,937,0.937,0.816234124003394,1,1.18376587599661,0.05,500,4,0.2,1,1
"rho",1000,943,0.943,0.0278991704740799,0.2,0.37210082952592,0.05,500,4,0.2,1,1
"beta",1000,957,0.957,0.880138786662406,1,1.11986121333759,0.05,500,4,0.3,1,1
"omega",1000,942,0.942,0.816115759788429,1,1.18388424021157,0.05,500,4,0.3,1,1
"rho",1000,948,0.948,0.121907063333296,0.3,0.478092936666704,0.05,500,4,0.3,1,1
"beta",1000,951,0.951,0.883732283442294,1,1.11626771655771,0.05,500,4,0.4,1,1
"omega",1000,945,0.945,0.820897877584304,1,1.1791021224157,0.05,500,4,0.4,1,1
"rho",1000,970,0.97,0.20870443534809,0.4,0.59129556465191,0.05,500,4,0.4,1,1
"beta",1000,935,0.935935935935936,0.882842394560011,1,1.11715760543999,0.05,500,4,0.5,1,1
"omega",1000,943,0.943943943943944,0.815012808267876,1,1.18498719173212,0.05,500,4,0.5,1,1
"rho",1000,968,0.968968968968969,0.311854791467291,0.5,0.688145208532709,0.05,500,4,0.5,1,1
"beta",1000,941,0.941941941941942,0.87945022551299,1,1.12054977448701,0.05,500,4,0.6,1,1
"omega",1000,953,0.953953953953954,0.804740543958252,1,1.19525945604175,0.05,500,4,0.6,1,1
"rho",1000,967,0.967967967967968,0.430832205663482,0.6,0.769167794336518,0.05,500,4,0.6,1,1
"beta",1000,949,0.95281124497992,0.877744744819591,1,1.12225525518041,0.05,500,4,0.7,1,1
"omega",1000,947,0.950803212851406,0.798953005004544,1,1.20104699499546,0.05,500,4,0.7,1,1
"rho",1000,939,0.942771084337349,0.56817789962435,0.7,0.83182210037565,0.05,500,4,0.7,1,1
"beta",1000,945,0.949748743718593,0.875438936894936,1,1.12456106310506,0.05,500,4,0.8,1,1
"omega",1000,939,0.943718592964824,0.788048637179632,1,1.21195136282037,0.05,500,4,0.8,1,1
"rho",1000,921,0.925628140703518,0.725305202302342,0.8,0.874694797697659,0.05,500,4,0.8,1,1
"beta",1000,945,0.949748743718593,0.8719926241829,1,1.1280073758171,0.05,500,4,0.9,1,1
"omega",1000,934,0.938693467336683,0.772564291078095,1,1.22743570892191,0.05,500,4,0.9,1,1
"rho",1000,925,0.92964824120603,0.867330036430039,0.9,0.932669963569961,0.05,500,4,0.9,1,1
"beta",1000,955,0.958835341365462,0.89048772525423,1,1.10951227474577,0.05,1000,3,-0.9,1,1
"omega",1000,949,0.95281124497992,0.837096843213482,1,1.16290315678652,0.05,1000,3,-0.9,1,1
"rho",1000,949,0.95281124497992,-0.916025725264591,-0.9,-0.883974274735409,0.05,1000,3,-0.9,1,1
"beta",1000,951,0.951951951951952,0.895446588089146,1,1.10455341191085,0.05,1000,3,-0.8,1,1
"omega",1000,949,0.94994994994995,0.837692757254061,1,1.16230724274594,0.05,1000,3,-0.8,1,1
"rho",1000,954,0.954954954954955,-0.830539563419256,-0.8,-0.769460436580744,0.05,1000,3,-0.8,1,1
"beta",1000,942,0.947686116700201,0.896557613531399,1,1.1034423864686,0.05,1000,3,-0.7,1,1
"omega",1000,935,0.940643863179074,0.843365328549364,1,1.15663467145064,0.05,1000,3,-0.7,1,1
"rho",1000,929,0.934607645875251,-0.741690472728757,-0.7,-0.658309527271243,0.05,1000,3,-0.7,1,1
"beta",1000,940,0.942828485456369,0.901964344145816,1,1.09803565585418,0.05,1000,3,-0.6,1,1
"omega",1000,932,0.934804413239719,0.851657263564481,1,1.14834273643552,0.05,1000,3,-0.6,1,1
"rho",1000,942,0.944834503510532,-0.657779044648385,-0.6,-0.542220955351615,0.05,1000,3,-0.6,1,1
"beta",1000,933,0.944331983805668,0.902245160697694,1,1.09775483930231,0.05,1000,3,-0.5,1,1
"omega",1000,917,0.928137651821862,0.85591035262181,1,1.14408964737819,0.05,1000,3,-0.5,1,1
"rho",1000,936,0.947368421052632,-0.571532756365021,-0.5,-0.428467243634979,0.05,1000,3,-0.5,1,1
"beta",1000,943,0.943943943943944,0.902389988392164,1,1.09761001160784,0.05,1000,3,-0.4,1,1
"omega",1000,959,0.95995995995996,0.851186973308413,1,1.14881302669159,0.05,1000,3,-0.4,1,1
"rho",1000,935,0.935935935935936,-0.482805000257121,-0.4,-0.317194999742879,0.05,1000,3,-0.4,1,1
"beta",1000,950,0.95190380761523,0.905685025416535,1,1.09431497458347,0.05,1000,3,-0.3,1,1
"omega",1000,950,0.95190380761523,0.853040370630081,1,1.14695962936992,0.05,1000,3,-0.3,1,1
"rho",1000,932,0.933867735470942,-0.39392588001163,-0.3,-0.20607411998837,0.05,1000,3,-0.3,1,1
"beta",1000,950,0.95,0.906391971868925,1,1.09360802813107,0.05,1000,3,-0.2,1,1
"omega",1000,940,0.94,0.854050188013957,1,1.14594981198604,0.05,1000,3,-0.2,1,1
"rho",1000,953,0.953,-0.31568616836441,-0.2,-0.0843138316355899,0.05,1000,3,-0.2,1,1
"beta",1000,943,0.943943943943944,0.907646526914641,1,1.09235347308536,0.05,1000,3,-0.1,1,1
"omega",1000,948,0.948948948948949,0.853959226328393,1,1.14604077367161,0.05,1000,3,-0.1,1,1
"rho",1000,956,0.956956956956957,-0.22883530221566,-0.1,0.0288353022156599,0.05,1000,3,-0.1,1,1
"beta",1000,947,0.947,0.907124583424368,1,1.09287541657563,0.05,1000,3,0,1,1
"omega",1000,952,0.952,0.851447224547498,1,1.1485527754525,0.05,1000,3,0,1,1
"rho",1000,958,0.958,-0.139482029903755,0,0.139482029903755,0.05,1000,3,0,1,1
"beta",1000,950,0.952858575727182,0.908092485706251,1,1.09190751429375,0.05,1000,3,0.1,1,1
"omega",1000,960,0.962888665997994,0.851754705162097,1,1.1482452948379,0.05,1000,3,0.1,1,1
"rho",1000,957,0.95987963891675,-0.0523508469948399,0.1,0.25235084699484,0.05,1000,3,0.1,1,1
"beta",1000,958,0.958,0.908056716199828,1,1.09194328380017,0.05,1000,3,0.2,1,1
"omega",1000,955,0.955,0.849402357644903,1,1.1505976423551,0.05,1000,3,0.2,1,1
"rho",1000,957,0.957,0.0338386164778519,0.2,0.366161383522148,0.05,1000,3,0.2,1,1
"beta",1000,950,0.95,0.908075844831857,1,1.09192415516814,0.05,1000,3,0.3,1,1
"omega",1000,968,0.968,0.846800622913343,1,1.15319937708666,0.05,1000,3,0.3,1,1
"rho",1000,940,0.94,0.130537986195973,0.3,0.469462013804027,0.05,1000,3,0.3,1,1
"beta",1000,943,0.943,0.912142787854615,1,1.08785721214538,0.05,1000,3,0.4,1,1
"omega",1000,938,0.938,0.856644253063625,1,1.14335574693637,0.05,1000,3,0.4,1,1
"rho",1000,947,0.947,0.227773803898238,0.4,0.572226196101762,0.05,1000,3,0.4,1,1
"beta",1000,953,0.953953953953954,0.911927046202376,1,1.08807295379762,0.05,1000,3,0.5,1,1
"omega",1000,939,0.93993993993994,0.856754303547676,1,1.14324569645232,0.05,1000,3,0.5,1,1
"rho",1000,966,0.966966966966967,0.33623074116793,0.5,0.66376925883207,0.05,1000,3,0.5,1,1
"beta",1000,930,0.930930930930931,0.911845560661469,1,1.08815443933853,0.05,1000,3,0.6,1,1
"omega",1000,917,0.917917917917918,0.859333055675221,1,1.14066694432478,0.05,1000,3,0.6,1,1
"rho",1000,938,0.938938938938939,0.470173719423935,0.6,0.729826280576065,0.05,1000,3,0.6,1,1
"beta",1000,942,0.94578313253012,0.908954300652366,1,1.09104569934763,0.05,1000,3,0.7,1,1
"omega",1000,947,0.950803212851406,0.843741466344301,1,1.1562585336557,0.05,1000,3,0.7,1,1
"rho",1000,920,0.923694779116466,0.604428337088442,0.7,0.795571662911558,0.05,1000,3,0.7,1,1
"beta",1000,931,0.932865731462926,0.907758110409766,1,1.09224188959023,0.05,1000,3,0.8,1,1
"omega",1000,946,0.947895791583166,0.84239374995507,1,1.15760625004493,0.05,1000,3,0.8,1,1
"rho",1000,952,0.953907815631262,0.735632371456835,0.8,0.864367628543165,0.05,1000,3,0.8,1,1
"beta",1000,946,0.949799196787149,0.902774856228118,1,1.09722514377188,0.05,1000,3,0.9,1,1
"omega",1000,950,0.953815261044177,0.820565324123244,1,1.17943467587676,0.05,1000,3,0.9,1,1
"rho",1000,943,0.946787148594378,0.873399972608278,0.9,0.926600027391722,0.05,1000,3,0.9,1,1
"beta",1000,947,0.957532861476239,0.899971203900885,1,1.10002879609911,0.05,1000,4,-0.9,1,1
"omega",1000,919,0.929221435793731,0.855733532974735,1,1.14426646702527,0.05,1000,4,-0.9,1,1
"rho",1000,934,0.944388270980789,-0.913182492648813,-0.9,-0.886817507351187,0.05,1000,4,-0.9,1,1
"beta",1000,935,0.940643863179074,0.905235378493674,1,1.09476462150633,0.05,1000,4,-0.8,1,1
"omega",1000,919,0.924547283702213,0.866223873200376,1,1.13377612679962,0.05,1000,4,-0.8,1,1
"rho",1000,932,0.937625754527163,-0.824547726588818,-0.8,-0.775452273411182,0.05,1000,4,-0.8,1,1
"beta",1000,935,0.943491422805247,0.906039931778036,1,1.09396006822196,0.05,1000,4,-0.7,1,1
"omega",1000,950,0.958627648839556,0.858448280627036,1,1.14155171937296,0.05,1000,4,-0.7,1,1
"rho",1000,943,0.951564076690212,-0.735633196686375,-0.7,-0.664366803313625,0.05,1000,4,-0.7,1,1
"beta",1000,943,0.947738693467337,0.909246570560703,1,1.0907534294393,0.05,1000,4,-0.6,1,1
"omega",1000,943,0.947738693467337,0.867592347426366,1,1.13240765257363,0.05,1000,4,-0.6,1,1
"rho",1000,951,0.955778894472362,-0.647915156436032,-0.6,-0.552084843563967,0.05,1000,4,-0.6,1,1
"beta",1000,938,0.942713567839196,0.910982632806694,1,1.08901736719331,0.05,1000,4,-0.5,1,1
"omega",1000,940,0.944723618090452,0.869319211241649,1,1.13068078875835,0.05,1000,4,-0.5,1,1
"rho",1000,940,0.944723618090452,-0.558151744772375,-0.5,-0.441848255227625,0.05,1000,4,-0.5,1,1
"beta",1000,937,0.942655935613682,0.910636091671333,1,1.08936390832867,0.05,1000,4,-0.4,1,1
"omega",1000,936,0.941649899396378,0.86720830590042,1,1.13279169409958,0.05,1000,4,-0.4,1,1
"rho",1000,926,0.93158953722334,-0.466930809579135,-0.4,-0.333069190420865,0.05,1000,4,-0.4,1,1
"beta",1000,938,0.945564516129032,0.914203158518127,1,1.08579684148187,0.05,1000,4,-0.3,1,1
"omega",1000,941,0.948588709677419,0.872871625313905,1,1.12712837468609,0.05,1000,4,-0.3,1,1
"rho",1000,934,0.941532258064516,-0.377802283671691,-0.3,-0.222197716328309,0.05,1000,4,-0.3,1,1
"beta",1000,946,0.947895791583166,0.913881723344806,1,1.08611827665519,0.05,1000,4,-0.2,1,1
"omega",1000,938,0.939879759519038,0.870170459001266,1,1.12982954099873,0.05,1000,4,-0.2,1,1
"rho",1000,941,0.942885771543086,-0.288718638425353,-0.2,-0.111281361574647,0.05,1000,4,-0.2,1,1
"beta",1000,939,0.939,0.915136600385115,1,1.08486339961488,0.05,1000,4,-0.1,1,1
"omega",1000,953,0.953,0.869976402366443,1,1.13002359763356,0.05,1000,4,-0.1,1,1
"rho",1000,938,0.938,-0.194281782598004,-0.1,-0.00571821740199567,0.05,1000,4,-0.1,1,1
"beta",1000,949,0.94994994994995,0.914585745373548,1,1.08541425462645,0.05,1000,4,0,1,1
